,cities,lines,oceans
704,"Lakeville, MA",False,
705,"West Bridgewater, MA",False,
706,"Halifax, MA",False,
707,"Mattapoisett, MA",True,759 Atlantic L4150
708,"Marion, MA",True,759 Atlantic L4150
709,"Rochester, MA",True,759 Atlantic L4150
710,"Plympton, MA",True,1078 Atlantic L4150
711,"West Wareham, MA",True,758 Atlantic L4150
712,"White Island Shores, MA",True,675 Atlantic L4150
713,"Lakeland, FL",False,
714,"Lake Wales, FL",False,
715,"Auburndale, FL",False,
716,"Bartow, FL",False,
717,"Winter Haven, FL",False,
718,"Mulberry, FL",False,
719,"Haines City, FL",False,
720,"Lakeland Highlands, FL",False,
721,"Frostproof, FL",False,
722,"Davenport, FL",False,
723,"Fort Meade, FL",False,
724,"Medulla, FL",False,
725,"Combee Settlement, FL",False,
726,"Inwood, FL",False,
727,"Jan-Phyl Village, FL",False,
728,"Wahneta, FL",False,
729,"Cypress Gardens, FL",False,
730,"Dundee, FL",False,
731,"Crystal Lake, FL",True,162 Atlantic L4150
732,"Lake Alfred, FL",False,
733,"Gibsonia, FL",False,
734,"Winston, FL",False,
735,"Loughman, FL",False,
736,"Highland City, FL",False,
737,"Kathleen, FL",False,
738,"Eagle Lake, FL",False,
739,"Napa, CA",False,
740,"American Canyon, CA",False,
741,"Saint Helena, CA",False,
742,"Calistoga, CA",False,
743,"Yountville, CA",False,
744,"Santa Cruz, CA",True,1993 Pacific L4150
745,"Watsonville, CA",True,2015 Pacific L4150
746,"Aptos, CA",True,1993 Pacific L4150
747,"Scotts Valley, CA",True,1993 Pacific L4150
748,"Boulder Creek, CA",True,1983 Pacific L4150
749,"Capitola, CA",True,1993 Pacific L4150
750,"Soquel, CA",True,1993 Pacific L4150
751,"Ben Lomond, CA",True,1993 Pacific L4150
752,"Felton, CA",True,1993 Pacific L4150
753,"Toms River, NJ",True,1085 Atlantic L4150
754,"Jackson, NJ",False,
755,"Lacey, NJ",False,
756,"Point Pleasant, NJ",True,1085 Atlantic L4150
757,"Ocean Acres, NJ",True,1085 Atlantic L4150
758,"Beachwood, NJ",True,1085 Atlantic L4150
759,"Mystic Islands, NJ",True,1046 Atlantic L4150
760,"Forked River, NJ",True,1085 Atlantic L4150
761,"Point Pleasant Beach, NJ",True,1085 Atlantic L4150
762,"South Toms River, NJ",True,1085 Atlantic L4150
763,"Tuckerton, NJ",True,1046 Atlantic L4150
764,"Beach Haven West, NJ",True,1085 Atlantic L4150
765,"Lakehurst, NJ",False,
766,"Seaside Heights, NJ",True,1085 Atlantic L4150
767,"Pine Beach, NJ",True,1085 Atlantic L4150
768,"Manahawkin, NJ",True,1085 Atlantic L4150
769,"New Egypt, NJ",False,
770,"Lavallette, NJ",True,1085 Atlantic L4150
771,"Island Heights, NJ",True,1085 Atlantic L4150
772,"Silver Ridge, NJ",True,1085 Atlantic L4150
773,"Ocean Gate, NJ",True,1085 Atlantic L4150
774,"Surf City, NJ",True,1085 Atlantic L4150
775,"Ship Bottom, NJ",True,1085 Atlantic L4150
776,"Beach Haven, NJ",True,1046 Atlantic L4150
777,"Ortley Beach, NJ",True,1085 Atlantic L4150
778,"Holiday Heights, NJ",True,1085 Atlantic L4150
779,"Bay Head, NJ",True,1085 Atlantic L4150
780,"Seaside Park, NJ",True,1085 Atlantic L4150
781,"Harvey Cedars, NJ",True,1085 Atlantic L4150
782,"Waretown, NJ",True,1085 Atlantic L4150
783,"Barnegat Light, NJ",True,1085 Atlantic L4150
784,"Kenosha, WI",True,3668 Great Lakes L4150
785,"Pleasant Prairie, WI",True,3668 Great Lakes L4150
786,"Somers, WI",True,3668 Great Lakes L4150
787,"Salem, WI",False,
788,"Bristol, WI",False,
789,"Bristol, WI",False,
790,"Randall, WI",False,
791,"Twin Lakes, WI",False,
792,"Wheatland, WI",False,
793,"Camp Lake, WI",False,
794,"Paddock Lake, WI",False,
795,"Paris, WI",False,
796,"Brighton, WI",False,
797,"Powers Lake, WI",False,
798,"Lake Shangrila, WI",False,
799,"Silver Lake, WI",False,
800,"Annapolis, MD",True,1054 Atlantic L4150
801,"Glen Burnie, MD",True,992 Atlantic L4150
802,"Pasadena, MD",True,992 Atlantic L4150
803,"Severn, MD",True,1054 Atlantic L4150
804,"Odenton, MD",False,
805,"Severna Park, MD",True,992 Atlantic L4150
806,"Crofton, MD",False,
807,"Arnold, MD",True,1054 Atlantic L4150
808,"Edgewater, MD",True,1054 Atlantic L4150
809,"Brooklyn Park, MD",True,992 Atlantic L4150
810,"Linthicum Heights, MD",True,992 Atlantic L4150
811,"Hanover, MD",False,
812,"Davidsonville, MD",True,1054 Atlantic L4150
813,"Crownsville, MD",True,1054 Atlantic L4150
814,"Gambrills, MD",False,
815,"Lothian, MD",True,1054 Atlantic L4150
816,"Churchton, MD",True,1054 Atlantic L4150
817,"Riva, MD",True,1054 Atlantic L4150
818,"Shady Side, MD",True,1054 Atlantic L4150
819,"Harwood, MD",True,1054 Atlantic L4150
820,"West River, MD",True,1054 Atlantic L4150
821,"Deale, MD",True,1054 Atlantic L4150
822,"Tracys Landing, MD",True,1054 Atlantic L4150
823,"Flagstaff, AZ",False,
824,"Page, AZ",False,
825,"Williams, AZ",False,
826,"Happy Jack, AZ",False,
827,"Munds Park, AZ",False,
828,"Lynn, MA",True,763 Atlantic L4150
829,"Lawrence, MA",False,
830,"Haverhill, MA",False,
831,"Peabody, MA",True,854 Atlantic L4150
832,"Methuen, MA",False,
833,"Salem, MA",True,854 Atlantic L4150
834,"Beverly, MA",True,854 Atlantic L4150
835,"North Andover, MA",False,
836,"Saugus, MA",True,822 Atlantic L4150
837,"Danvers, MA",True,854 Atlantic L4150
838,"Gloucester, MA",True,854 Atlantic L4150
839,"Newburyport, MA",True,1092 Atlantic L4150
840,"Marblehead, MA",True,854 Atlantic L4150
841,"Swampscott, MA",True,854 Atlantic L4150
842,"Lynnfield, MA",True,822 Atlantic L4150
843,"Middleton, MA",True,1092 Atlantic L4150
844,"Georgetown, MA",False,
845,"Hamilton, MA",True,854 Atlantic L4150
846,"Groveland, MA",False,
847,"Merrimac, MA",True,1092 Atlantic L4150
848,"Rockport, MA",True,831 Atlantic L4150
849,"Manchester, MA",True,854 Atlantic L4150
850,"West Newbury, MA",True,1092 Atlantic L4150
851,"Wenham, MA",True,854 Atlantic L4150
852,"Nahant, MA",True,763 Atlantic L4150
853,"Hudsonville, MI",False,
854,"Jenison, MI",False,
855,"Coopersville, MI",False,
856,"Marne, MI",False,
857,"Conklin, MI",False,
858,"Ferrysburg, MI",True,3669 Great Lakes L4150
859,"Boulder, CO",False,
860,"Longmont, CO",False,
861,"Louisville, CO",False,
862,"Lafayette, CO",False,
863,"Superior, CO",False,
864,"Lyons, CO",False,
865,"Nederland, CO",False,
866,"Niwot, CO",False,
867,"Ward, CO",False,
868,"Allenspark, CO",False,
869,"East Fishkill, NY",False,
870,"Beacon, NY",False,
871,"Beekman, NY",False,
872,"Hyde Park, NY",False,
873,"Wappingers Falls, NY",False,
874,"Myers Corner, NY",False,
875,"Clinton, NY",False,
876,"Clinton, NY",False,
877,"Clinton, NY",False,
878,"Clinton, NY",False,
879,"Milan, NY",False,
880,"Brinckerhoff, NY",False,
881,"Hopewell Junction, NY",False,
882,"Millbrook, NY",False,
883,"Hillside Lake, NY",False,
884,"Milton, FL",False,
885,"Navarre, FL",True,4205 Gulf L4150
886,"Gulf Breeze, FL",True,4205 Gulf L4150
887,"Pace, FL",False,
888,"Jay, FL",False,
889,"Eau Claire, WI",False,
890,"Altoona, WI",False,
891,"Augusta, WI",False,
892,"Eleva, WI",False,
893,"Fall Creek, WI",False,
894,"Fairchild, WI",False,
895,"Scranton, PA",False,
896,"Dunmore, PA",False,
897,"Old Forge, PA",False,
898,"Archbald, PA",False,
899,"Blakely, PA",False,
900,"Moosic, PA",False,
901,"Olyphant, PA",False,
902,"Clarks Summit, PA",False,
903,"Jessup, PA",False,
904,"Throop, PA",False,
905,"Taylor, PA",False,
906,"Dickson City, PA",False,
907,"Moscow, PA",False,
908,"Jermyn, PA",False,
909,"Ransom, PA",False,
910,"Clifton, PA",False,
911,"Mount Cobb, PA",False,
912,"Dalton, PA",False,
913,"Glenburn, PA",False,
914,"Mayfield, PA",False,
915,"Clarks Green, PA",False,
916,"Thornhurst, PA",False,
917,"New Braunfels, TX",False,
918,"Canyon Lake, TX",False,
919,"Bulverde, TX",False,
920,"Spring Branch, TX",False,
921,"Garden Ridge, TX",False,
922,"Fischer, TX",False,
923,"Maryville, TN",False,
924,"Alcoa, TN",False,
925,"Friendsville, TN",False,
926,"Tallassee, TN",False,
927,"Rockford, TN",False,
928,"Palm Coast, FL",True,1005 Atlantic L4150
929,"Bunnell, FL",True,669 Atlantic L4150
930,"Flagler Beach, FL",True,669 Atlantic L4150
931,"League City, TX",True,4154 Gulf L4150
932,"Galveston, TX",True,4156 Gulf L4150
933,"Texas City, TX",True,4439 Gulf L4150
934,"Friendswood, TX",False,
935,"La Marque, TX",True,4156 Gulf L4150
936,"Santa Fe, TX",False,
937,"Bacliff, TX",True,4154 Gulf L4150
938,"San Leon, TX",True,4443 Gulf L4150
939,"Bayou Vista, TX",True,4156 Gulf L4150
940,"Port Bolivar, TX",True,4438 Gulf L4150
941,"Jamaica Beach, TX",True,4156 Gulf L4150
942,"Deltona, FL",False,
943,"Daytona Beach, FL",True,1028 Atlantic L4150
944,"Port Orange, FL",True,1028 Atlantic L4150
945,"Enterprise, FL",False,
946,"Ormond Beach, FL",True,1028 Atlantic L4150
947,"Edgewater, FL",True,1028 Atlantic L4150
948,"Orange City, FL",False,
949,"New Smyrna Beach, FL",True,1028 Atlantic L4150
950,"Holly Hill, FL",True,1028 Atlantic L4150
951,"South Daytona, FL",True,1028 Atlantic L4150
952,"De Leon Springs, FL",False,
953,"Ponce Inlet, FL",True,1028 Atlantic L4150
954,"Ormond-by-the-Sea, FL",True,669 Atlantic L4150
955,"Lake Helen, FL",False,
956,"Oak Hill, FL",True,1043 Atlantic L4150
957,"Glencoe, FL",True,1028 Atlantic L4150
958,"Pierson, FL",False,
959,"Daytona Beach Shores, FL",True,1028 Atlantic L4150
960,"Asheville, NC",False,
961,"Candler, NC",False,
962,"Arden, NC",False,
963,"Weaverville, NC",False,
964,"Black Mountain, NC",False,
965,"Leicester, NC",False,
966,"Swannanoa, NC",False,
967,"Woodfin, NC",False,
968,"Fairview, NC",False,
969,"Fairview, NC",False,
970,"Barnardsville, NC",False,
971,"Biltmore Forest, NC",False,
972,"Bent Creek, NC",False,
973,"Mooresville, NC",False,
974,"Statesville, NC",False,
975,"Troutman, NC",False,
976,"Harmony, NC",False,
977,"Stony Point, NC",False,
978,"Union Grove, NC",False,
979,"Olin, NC",False,
980,"Bremerton, WA",True,2025 Pacific L4150
981,"Port Orchard, WA",True,2025 Pacific L4150
982,"Poulsbo, WA",True,2014 Pacific L4150
983,"Silverdale, WA",True,2014 Pacific L4150
984,"Kingston, WA",True,2029 Pacific L4150
985,"Olalla, WA",True,2032 Pacific L4150
986,"Seabeck, WA",False,
987,"Hansville, WA",True,2029 Pacific L4150
988,"Indianola, WA",True,2026 Pacific L4150
989,"Suquamish, WA",True,2026 Pacific L4150
990,"Great Falls, MT",False,
991,"Cascade, MT",False,
992,"Belt, MT",False,
993,"Casper, WY",False,
994,"Evansville, WY",False,
995,"Bar Nunn, WY",False,
996,"San Rafael, CA",True,1990 Pacific L4150
997,"Novato, CA",False,
998,"Mill Valley, CA",True,1990 Pacific L4150
999,"San Anselmo, CA",True,1990 Pacific L4150
1000,"Tiburon, CA",True,1990 Pacific L4150
1001,"Sausalito, CA",True,1990 Pacific L4150
1002,"Corte Madera, CA",True,1990 Pacific L4150
1003,"Fairfax, CA",True,1990 Pacific L4150
1004,"Kentfield, CA",True,1990 Pacific L4150
1005,"Larkspur, CA",True,1990 Pacific L4150
1006,"Belvedere, CA",True,1990 Pacific L4150
1007,"Point Reyes Station, CA",True,1990 Pacific L4150
1008,"Lagunitas, CA",True,1990 Pacific L4150
1009,"Ross, CA",True,1990 Pacific L4150
1010,"Inverness, CA",True,1990 Pacific L4150
1011,"Stinson Beach, CA",True,1990 Pacific L4150
1012,"Port Charlotte, FL",False,
1013,"Punta Gorda, FL",False,
1014,"Englewood, FL",True,4127 Gulf L4150
1015,"Placida, FL",True,4123 Gulf L4150
1016,"Bellingham, WA",True,1778 Pacific L4150
1017,"Ferndale, WA",True,2009 Pacific L4150
1018,"Lynden, WA",False,
1019,"Blaine, WA",True,2009 Pacific L4150
1020,"Sudden Valley, WA",True,1778 Pacific L4150
1021,"Custer, WA",True,2009 Pacific L4150
1022,"Maple Falls, WA",False,
1023,"Sumas, WA",False,
1024,"Geneva, WA",True,1778 Pacific L4150
1025,"Deming, WA",False,
1026,"Lummi Island, WA",True,1736 Pacific L4150
1027,"Everson, WA",False,
1028,"Point Roberts, WA",True,1782 Pacific L4150
1029,"Brunswick, GA",True,994 Atlantic L4150
1030,"Saint Simons Island, GA",True,488 Atlantic L4150
1031,"Venice, FL",True,4127 Gulf L4150
1032,"North Port, FL",False,
1033,"Sarasota, FL",True,4127 Gulf L4150
1034,"Fruitville, FL",True,4127 Gulf L4150
1035,"Nokomis, FL",True,4127 Gulf L4150
1036,"Gulf Gate Estates, FL",True,4127 Gulf L4150
1037,"Bee Ridge, FL",True,4127 Gulf L4150
1038,"North Sarasota, FL",True,4127 Gulf L4150
1039,"Southgate, FL",True,4127 Gulf L4150
1040,"Siesta Key, FL",True,4127 Gulf L4150
1041,"Osprey, FL",True,4127 Gulf L4150
1042,"South Gate Ridge, FL",True,4127 Gulf L4150
1043,"Lake Sarasota, FL",True,4127 Gulf L4150
1044,"Ridge Wood Heights, FL",True,4127 Gulf L4150
1045,"Kensington Park, FL",True,4127 Gulf L4150
1046,"Desoto Lakes, FL",True,4127 Gulf L4150
1047,"The Meadows, FL",True,4127 Gulf L4150
1048,"South Sarasota, FL",True,4127 Gulf L4150
1049,"Longboat Key, FL",True,4127 Gulf L4150
1050,"Vamo, FL",True,4127 Gulf L4150
1051,"Utica, NY",False,
1052,"Rome, NY",False,
1053,"New Hartford, NY",False,
1054,"Lee, NY",False,
1055,"Marcy, NY",False,
1056,"Verona, NY",False,
1057,"Westmoreland, NY",False,
1058,"Kirkland, NY",False,
1059,"Vienna, NY",False,
1060,"Deerfield, NY",False,
1061,"Paris, NY",False,
1062,"Floyd, NY",False,
1063,"Annsville, NY",False,
1064,"Sherrill, NY",False,
1065,"Yorkville, NY",False,
1066,"New York Mills, NY",False,
1067,"Marshall, NY",False,
1068,"Whitesboro, NY",False,
1069,"Forestport, NY",False,
1070,"San Marcos, TX",False,
1071,"Kyle, TX",False,
1072,"Dripping Springs, TX",False,
1073,"Wimberley, TX",False,
1074,"Woodcreek, TX",False,
1075,"Buda, TX",False,
1076,"Woodbury, MN",False,
1077,"Cottage Grove, MN",False,
1078,"Oakdale, MN",False,
1079,"Forest Lake, MN",False,
1080,"Stillwater, MN",False,
1081,"Hugo, MN",False,
1082,"Lake Elmo, MN",False,
1083,"Mahtomedi, MN",False,
1084,"Saint Paul Park, MN",False,
1085,"Grant, MN",False,
1086,"Newport, MN",False,
1087,"Bayport, MN",False,
1088,"Lakeland, MN",False,
1089,"Marine on Saint Croix, MN",False,
1090,"Afton, MN",False,
1091,"Oak Park Heights, MN",False,
1092,"Lake Saint Croix Beach, MN",False,
1093,"Dellwood, MN",False,
1094,"Scandia, MN",False,
1095,"Valley Stream, NY",True,1034 Atlantic L4150
1096,"Massapequa, NY",True,1087 Atlantic L4150
1097,"Freeport, NY",True,1087 Atlantic L4150
1098,"Levittown, NY",True,1087 Atlantic L4150
1099,"Elmont, NY",True,1035 Atlantic L4150
1100,"Hicksville, NY",True,1035 Atlantic L4150
1101,"Great Neck, NY",True,1035 Atlantic L4150
1102,"East Meadow, NY",True,1034 Atlantic L4150
1103,"Merrick, NY",True,1087 Atlantic L4150
1104,"Bellmore, NY",True,1087 Atlantic L4150
1105,"Farmingdale, NY",True,1087 Atlantic L4150
1106,"Baldwin, NY",True,1034 Atlantic L4150
1107,"Long Beach, NY",True,1034 Atlantic L4150
1108,"Plainview, NY",False,
1109,"Wantagh, NY",True,1087 Atlantic L4150
1110,"Oceanside, NY",True,1034 Atlantic L4150
1111,"Glen Cove, NY",True,921 Atlantic L4150
1112,"Uniondale, NY",True,1034 Atlantic L4150
1113,"West Hempstead, NY",True,1034 Atlantic L4150
1114,"Franklin Square, NY",True,1035 Atlantic L4150
1115,"Garden City, NY",True,1035 Atlantic L4150
1116,"Rockville Centre, NY",True,1034 Atlantic L4150
1117,"Seaford, NY",True,1087 Atlantic L4150
1118,"Bethpage, NY",True,1087 Atlantic L4150
1119,"Lynbrook, NY",True,1034 Atlantic L4150
1120,"Mineola, NY",True,1035 Atlantic L4150
1121,"Massapequa Park, NY",True,1087 Atlantic L4150
1122,"Syosset, NY",True,1087 Atlantic L4150
1123,"Westbury, NY",True,1035 Atlantic L4150
1124,"Port Washington, NY",True,1035 Atlantic L4150
1125,"North New Hyde Park, NY",True,1035 Atlantic L4150
1126,"Floral Park, NY",True,1035 Atlantic L4150
1127,"Manhasset, NY",True,1035 Atlantic L4150
1128,"New Cassel, NY",True,1035 Atlantic L4150
1129,"Salisbury, NY",False,
1130,"Salisbury, NY",False,
1131,"Salisbury, NY",False,
1132,"Salisbury, NY",False,
1133,"Woodbury, NY",True,1087 Atlantic L4150
1134,"Woodbury, NY",True,1087 Atlantic L4150
1135,"Woodbury, NY",True,1087 Atlantic L4150
1136,"Woodbury, NY",True,1087 Atlantic L4150
1137,"Jericho, NY",True,1035 Atlantic L4150
1138,"Woodmere, NY",True,1034 Atlantic L4150
1139,"Roslyn Heights, NY",True,1035 Atlantic L4150
1140,"Roosevelt, NY",True,1034 Atlantic L4150
1141,"East Rockaway, NY",True,1034 Atlantic L4150
1142,"New Hyde Park, NY",True,1035 Atlantic L4150
1143,"Garden City Park, NY",True,1035 Atlantic L4150
1144,"Inwood, NY",True,1034 Atlantic L4150
1145,"Williston Park, NY",True,1035 Atlantic L4150
1146,"Lawrence, NY",True,1034 Atlantic L4150
1147,"Hewlett, NY",True,1034 Atlantic L4150
1148,"Malverne, NY",True,1034 Atlantic L4150
1149,"Manorhaven, NY",True,1035 Atlantic L4150
1150,"Cedarhurst, NY",True,1034 Atlantic L4150
1151,"Oyster Bay, NY",True,1087 Atlantic L4150
1152,"Island Park, NY",True,1034 Atlantic L4150
1153,"Carle Place, NY",True,1035 Atlantic L4150
1154,"North Hills, NY",True,1035 Atlantic L4150
1155,"Herricks, NY",True,1035 Atlantic L4150
1156,"East Garden City, NY",True,1035 Atlantic L4150
1157,"Sea Cliff, NY",True,921 Atlantic L4150
1158,"Old Bethpage, NY",False,
1159,"Old Westbury, NY",True,1035 Atlantic L4150
1160,"Manhasset Hills, NY",True,1035 Atlantic L4150
1161,"Muttontown, NY",True,1087 Atlantic L4150
1162,"Glen Head, NY",True,1035 Atlantic L4150
1163,"East Hills, NY",True,1035 Atlantic L4150
1164,"Locust Valley, NY",True,1087 Atlantic L4150
1165,"Garden City South, NY",True,1034 Atlantic L4150
1166,"Albertson, NY",True,1035 Atlantic L4150
1167,"Searingtown, NY",True,1035 Atlantic L4150
1168,"East Norwich, NY",True,1087 Atlantic L4150
1169,"East Williston, NY",True,1035 Atlantic L4150
1170,"Flower Hill, NY",True,1035 Atlantic L4150
1171,"Bayville, NY",True,1087 Atlantic L4150
1172,"Sands Point, NY",True,1035 Atlantic L4150
1173,"Roslyn, NY",True,1035 Atlantic L4150
1174,"Stewart Manor, NY",True,1035 Atlantic L4150
1175,"Port Washington North, NY",True,1035 Atlantic L4150
1176,"Lattingtown, NY",True,1087 Atlantic L4150
1177,"Oyster Bay Cove, NY",True,1087 Atlantic L4150
1178,"Plandome, NY",True,1035 Atlantic L4150
1179,"Bellerose Terrace, NY",True,1035 Atlantic L4150
1180,"Point Lookout, NY",True,1087 Atlantic L4150
1181,"Laurel Hollow, NY",True,1087 Atlantic L4150
1182,"Hewlett Harbor, NY",True,1034 Atlantic L4150
1183,"Atlantic Beach, NY",True,1034 Atlantic L4150
1184,"Upper Brookville, NY",True,1087 Atlantic L4150
1185,"San Luis Obispo, CA",True,2028 Pacific L4150
1186,"Paso Robles, CA",False,
1187,"Atascadero, CA",False,
1188,"Arroyo Grande, CA",True,2028 Pacific L4150
1189,"Nipomo, CA",True,2028 Pacific L4150
1190,"Los Osos, CA",True,3313 Pacific L4150
1191,"Grover Beach, CA",True,2028 Pacific L4150
1192,"Morro Bay, CA",True,2028 Pacific L4150
1193,"Oceano, CA",True,2028 Pacific L4150
1194,"Templeton, CA",False,
1195,"San Miguel, CA",False,
1196,"Pismo Beach, CA",True,2028 Pacific L4150
1197,"Cambria, CA",True,2028 Pacific L4150
1198,"Cayucos, CA",True,2028 Pacific L4150
1199,"Avila Beach, CA",True,3313 Pacific L4150
1200,"Huntsville, TX",False,
1201,"Kissimmee, FL",False,
1202,"Saint Cloud, FL",False,
1203,"Yeehaw Junction, FL",False,
1204,"Poinciana, FL",False,
1205,"Citrus Ridge, FL",False,
1206,"Celebration, FL",False,
1207,"Bozeman, MT",False,
1208,"Belgrade, MT",False,
1209,"Three Forks, MT",False,
1210,"Manhattan, MT",False,
1211,"Manalapan, NJ",False,
1212,"Long Branch, NJ",True,1047 Atlantic L4150
1213,"Middletown, NJ",True,1102 Atlantic L4150
1214,"Hazlet, NJ",True,1102 Atlantic L4150
1215,"Tinton Falls, NJ",True,1047 Atlantic L4150
1216,"Marlboro, NJ",True,1102 Atlantic L4150
1217,"Holmdel, NJ",True,1102 Atlantic L4150
1218,"Red Bank, NJ",True,1047 Atlantic L4150
1219,"Eatontown, NJ",True,1047 Atlantic L4150
1220,"Colts Neck, NJ",False,
1221,"Keansburg, NJ",True,1102 Atlantic L4150
1222,"Matawan, NJ",True,1102 Atlantic L4150
1223,"Morganville, NJ",True,1102 Atlantic L4150
1224,"West Long Branch, NJ",True,1047 Atlantic L4150
1225,"Keyport, NJ",True,1102 Atlantic L4150
1226,"Rumson, NJ",True,1047 Atlantic L4150
1227,"Union Beach, NJ",True,1102 Atlantic L4150
1228,"Fair Haven, NJ",True,1047 Atlantic L4150
1229,"Manasquan, NJ",True,1085 Atlantic L4150
1230,"Belmar, NJ",True,1085 Atlantic L4150
1231,"Little Silver, NJ",True,1047 Atlantic L4150
1232,"Yorketown, NJ",False,
1233,"Neptune City, NJ",True,1085 Atlantic L4150
1234,"Brielle, NJ",True,1085 Atlantic L4150
1235,"Spring Lake Heights, NJ",True,1085 Atlantic L4150
1236,"Oceanport, NJ",True,1047 Atlantic L4150
1237,"Atlantic Highlands, NJ",True,1047 Atlantic L4150
1238,"Shrewsbury, NJ",True,1047 Atlantic L4150
1239,"Oakhurst, NJ",True,1047 Atlantic L4150
1240,"Cliffwood, NJ",True,1102 Atlantic L4150
1241,"Bradley Beach, NJ",True,1085 Atlantic L4150
1242,"Ocean Grove, NJ",True,1085 Atlantic L4150
1243,"Spring Lake, NJ",True,1085 Atlantic L4150
1244,"Cliffwood Beach, NJ",True,1102 Atlantic L4150
1245,"Monmouth Beach, NJ",True,1047 Atlantic L4150
1246,"Wanamassa, NJ",True,1085 Atlantic L4150
1247,"Englishtown, NJ",False,
1248,"Sea Girt, NJ",True,1085 Atlantic L4150
1249,"Allentown, NJ",False,
1250,"Lake Como, NJ",True,1085 Atlantic L4150
1251,"West Belmar, NJ",True,1085 Atlantic L4150
1252,"Shark River Hills, NJ",True,1085 Atlantic L4150
1253,"Sea Bright, NJ",True,1047 Atlantic L4150
1254,"Deal, NJ",True,1047 Atlantic L4150
1255,"Interlaken, NJ",True,1085 Atlantic L4150
1256,"Norton Shores, MI",True,3669 Great Lakes L4150
1257,"Muskegon Heights, MI",True,3669 Great Lakes L4150
1258,"Montague, MI",True,3450 Great Lakes L4150
1259,"Whitehall, MI",True,3450 Great Lakes L4150
1260,"Ravenna, MI",False,
1261,"Roosevelt Park, MI",True,3669 Great Lakes L4150
1262,"Holton, MI",False,
1263,"Wolf Lake, MI",False,
1264,"North Muskegon, MI",True,3669 Great Lakes L4150
1265,"Twin Lake, MI",False,
1266,"Lakewood Club, MI",True,3678 Great Lakes L4150
1267,"Casnovia, MI",False,
1268,"Lake Havasu City, AZ",False,
1269,"Kingman, AZ",False,
1270,"Bullhead City, AZ",False,
1271,"Mohave Valley, AZ",False,
1272,"Golden Valley, AZ",False,
1273,"Dolan Springs, AZ",False,
1274,"Union, NJ",False,
1275,"Union, NJ",False,
1276,"Readington, NJ",False,
1277,"Flemington, NJ",False,
1278,"Lambertville, NJ",False,
1279,"High Bridge, NJ",False,
1280,"Glen Gardner, NJ",False,
1281,"Frenchtown, NJ",False,
1282,"Hampton, NJ",False,
1283,"Milford, NJ",False,
1284,"Bloomsbury, NJ",False,
1285,"Whitehouse Station, NJ",False,
1286,"Missoula, MT",False,
1287,"Lolo, MT",False,
1288,"East Missoula, MT",False,
1289,"Clinton, MT",False,
1290,"Huson, MT",False,
1291,"Bonner, MT",False,
1292,"Condon, MT",False,
1293,"Frenchtown, MT",False,
1294,"Orchard Homes, MT",False,
1295,"Seeley Lake, MT",False,
1296,"Binghamton, NY",False,
1297,"Vestal, NY",False,
1298,"Union, NY",False,
1299,"Johnson City, NY",False,
1300,"Endicott, NY",False,
1301,"Endwell, NY",False,
1302,"Kirkwood, NY",False,
1303,"Maine, NY",False,
1304,"Dickinson, NY",False,
1305,"Conklin, NY",False,
1306,"Barker, NY",True,3656 Great Lakes L4150
1307,"Sanford, NY",False,
1308,"Port Dickinson, NY",False,
1309,"Klamath Falls, OR",False,
1310,"Chiloquin, OR",False,
1311,"Malin, OR",False,
1312,"Crescent, OR",False,
1313,"Bonanza, OR",False,
1314,"Middletown, NY",False,
1315,"Middletown, NY",False,
1316,"Middletown, NY",False,
1317,"Middletown, NY",False,
1318,"Scotchtown, NY",False,
1319,"Port Jervis, NY",False,
1320,"Wallkill, NY",False,
1321,"Crawford, NY",False,
1322,"Walden, NY",False,
1323,"Mechanicstown, NY",False,
1324,"Hamptonburgh, NY",False,
1325,"Greenville, NY",False,
1326,"Walton Park, NY",False,
1327,"Vails Gate, NY",False,
1328,"Highland Falls, NY",False,
1329,"Greenwood Lake, NY",False,
1330,"Florida, NY",False,
1331,"Florida, NY",False,
1332,"Washingtonville, NY",False,
1333,"Harriman, NY",False,
1334,"Washington Heights, NY",True,1035 Atlantic L4150
1335,"Pine Bush, NY",False,
1336,"Maybrook, NY",False,
1337,"Prescott, AZ",False,
1338,"Prescott Valley, AZ",False,
1339,"Cottonwood, AZ",False,
1340,"Sedona, AZ",False,
1341,"Chino Valley, AZ",False,
1342,"Camp Verde, AZ",False,
1343,"Rimrock, AZ",False,
1344,"Clarkdale, AZ",False,
1345,"Cornville, AZ",False,
1346,"Paulden, AZ",False,
1347,"Congress, AZ",False,
1348,"Mayer, AZ",False,
1349,"Kirkland, AZ",False,
1350,"Morristown, NJ",False,
1351,"Dover, NJ",False,
1352,"Denville, NJ",False,
1353,"Madison, NJ",False,
1354,"Hanover, NJ",False,
1355,"Lincoln Park, NJ",False,
1356,"East Hanover, NJ",False,
1357,"Long Valley, NJ",False,
1358,"Kinnelon, NJ",False,
1359,"Succasunna, NJ",False,
1360,"Florham Park, NJ",False,
1361,"Chatham, NJ",False,
1362,"Budd Lake, NJ",False,
1363,"Boonton, NJ",False,
1364,"Butler, NJ",False,
1365,"Wharton, NJ",False,
1366,"Morris Plains, NJ",False,
1367,"Montville, NJ",False,
1368,"Pequannock, NJ",False,
1369,"Mountain Lakes, NJ",False,
1370,"Riverdale, NJ",False,
1371,"Mount Arlington, NJ",False,
1372,"Mine Hill, NJ",False,
